CityIndex,SampleIndex,HHI
1,1,0.5397692
,2,0.535138286
,3,0.317726667
,4,0.404069
,5,0.340683429
,6,0.5839584
,7,0.450072
,8,0.338954667
,9,0.561861
,10,0.3371352
2,1,0.332603
,2,0.355336
,3,0.456918
,4,0.378958
,5,0.518967333
,6,0.904054
,7,0.4125
,8,0.547608
,9,0.495374
,10,0.592854
3,1,0.638226
,2,0.615798
,3,0.791632
,4,0.314341333
,5,0.748042
,6,0.644098
,7,0.768646
,8,0.603816
,9,0.694466
,10,0.729078
4,1,0.784176
,2,0.708182
,3,0.739204
,4,0.718082
,5,0.577824
,6,0.662398
,7,0.599214
,8,0.796934
,9,0.86052
,10,0.731962
5,1,0.488106
,2,0.513642
,3,0.588306
,4,0.465085
,5,0.460354
,6,0.594922
,7,0.491977
,8,0.824925
,9,0.718194
,10,0.534084
6,1,0.624222
,2,0.486598
,3,0.76291
,4,0.65225
,5,0.47061
,6,0.370624
,7,0.361398
,8,0.443808
,9,0.47407
,10,0.456795
7,1,0.6286
,2,0.491313
,3,0.581232
,4,0.761284
,5,0.609682
,6,0.840242
,7,0.560765
,8,0.624654
,9,0.694888
,10,0.600244
8,1,0.947274
,2,0.868318
,3,0.821602
,4,0.762954
,5,0.650886
,6,0.706445
,7,0.650886
,8,0.806308
,9,0.573268
,10,0.78951
9,1,0.76352
,2,0.549261
,3,0.804597
,4,0.712139
,5,0.815436
,6,0.720635
,7,0.738578
,8,0.947458
,9,0.856694
,10,0.863009
10,1,0.586174
,2,0.405891
,3,0.624623
,4,0.4043592
,5,0.3653336
,6,0.377282667
,7,0.437601
,8,0.400474
,9,0.3393488
,10,0.3645388
11,1,0.665798
,2,0.874018
,3,0.822812
,4,0.455861
,5,0.84112
,6,0.8188275
,7,0.723256
,8,0.796434
,9,0.659135
,10,0.829454
12,1,0.74832
,2,0.489426
,3,0.7619
,4,0.463989
,5,0.484006
,6,0.77243
,7,0.763062
,8,0.520136
,9,0.800039
,10,0.761164
13,1,0.4905476
,2,0.535622
,3,0.476604
,4,0.5832125
,5,0.3801272
,6,0.309555
,7,0.5005732
,8,0.375567
,9,0.399984
,10,0.647868
14,1,0.836218
,2,0.885642
,3,0.939693
,4,0.869675333
,5,0.93175
,6,0.930189
,7,0.931452
,8,0.741586
,9,0.759682
,10,0.82527
15,1,0.68963
,2,0.81465
,3,0.701426
,4,0.44677
,5,0.750876
,6,0.587176
,7,0.836526
,8,0.339969
,9,0.640184
,10,0.592362
16,1,0.578734
,2,0.335476
,3,0.898637
,4,0.579969
,5,0.41473
,6,0.81837
,7,0.422782
,8,0.394983
,9,0.419594
,10,0.510612
17,1,0.849002
,2,0.73273
,3,0.673498
,4,0.743862
,5,0.489920667
,6,0.920741
,7,0.773416
,8,0.569666
,9,0.8696235
,10,0.860102
18,1,0.807572
,2,0.75123
,3,0.734474
,4,0.858524
,5,0.38202
,6,0.758726
,7,0.863712
,8,0.978182
,9,0.928318
,10,0.954734
19,1,0.935634
,2,0.775061
,3,0.75684
,4,0.755526
,5,0.644456
,6,0.817534
,7,0.939502
,8,0.726793
,9,0.729992
,10,0.830885
20,1,0.759496
,2,0.468594
,3,0.707518
,4,0.628146
,5,0.85097
,6,0.704164
,7,0.409846
,8,0.920474
,9,0.806194
,10,0.386402
21,1,0.780822
,2,0.675698
,3,0.583062
,4,0.73875
,5,0.434514
,6,0.353224
,7,0.442344
,8,0.632214
,9,0.467778
,10,0.398432
